timestamp,phase,phase_elapsed_s,inject_count,drone_drift_m,lio_sam_drift_m,drone_x,drone_y,drone_z,lio_x,lio_y,lio_z
2026-04-25T12:20:36.661683,baseline,0.49,0,,,,,,0.005,-0.003,-0.013
2026-04-25T12:20:38.161626,baseline,1.99,0,,,,,,0.007,-0.003,-0.025
2026-04-25T12:20:39.661603,baseline,3.49,0,,,-5.992,0.0,3.19,0.009,-0.001,-0.089
2026-04-25T12:20:41.161594,baseline,4.99,0,,,-5.992,0.0,3.19,0.007,-0.004,0.027
2026-04-25T12:20:42.161598,baseline,5.99,0,,,-5.992,0.0,3.19,0.007,-0.003,0.016
2026-04-25T12:20:43.161632,baseline,6.99,0,,,-5.992,0.0,3.19,0.006,-0.003,0.016
2026-04-25T12:20:44.661628,baseline,8.49,0,,,-5.992,0.0,3.19,0.008,-0.004,0.019
2026-04-25T12:20:45.661707,baseline,9.49,0,,,-5.992,0.0,3.19,0.008,-0.004,0.025
2026-04-25T12:20:47.161599,baseline,10.99,0,,,-5.992,0.0,3.19,0.007,-0.005,0.047
2026-04-25T12:20:48.661591,baseline,12.49,0,,,-5.992,-0.011,3.19,0.008,-0.004,0.06
2026-04-25T12:20:50.161605,baseline,13.99,0,,,-5.992,0.0,3.19,0.009,-0.005,0.095
2026-04-25T12:20:51.661584,baseline,15.49,0,,,-5.992,0.0,3.19,0.008,-0.005,0.113
2026-04-25T12:20:52.661601,attack,1.0,499,0.0,0.021,-5.992,0.0,3.19,0.008,-0.003,0.134
2026-04-25T12:20:54.161600,attack,2.5,1249,0.0,0.067,-5.992,0.0,3.19,0.01,-0.003,0.181
2026-04-25T12:20:55.161638,attack,3.5,1749,0.0,0.067,-5.992,0.0,3.19,0.009,-0.003,0.181
2026-04-25T12:20:56.661666,attack,4.52,2262,0.01,0.067,-5.992,0.0,3.18,0.009,-0.003,0.181
2026-04-25T12:20:58.161699,attack,6.02,3012,0.0,0.067,-5.992,0.0,3.19,0.009,-0.003,0.181
2026-04-25T12:20:59.661584,attack,7.52,3762,0.0,0.067,-5.992,0.0,3.19,0.009,-0.003,0.181
2026-04-25T12:21:00.661639,attack,8.52,4262,0.0,0.067,-5.992,0.0,3.19,0.009,-0.003,0.181
2026-04-25T12:21:02.161600,attack,10.02,5012,0.0,0.067,-5.992,0.0,3.19,0.009,-0.003,0.181
2026-04-25T12:21:03.661617,attack,11.52,5762,0.0,0.067,-5.992,0.0,3.19,0.009,-0.003,0.181
2026-04-25T12:21:05.161524,attack,13.02,6512,0.0,0.067,-5.992,0.0,3.19,0.009,-0.003,0.181
2026-04-25T12:21:06.161666,attack,14.02,7012,0.0,0.067,-5.992,0.0,3.19,0.009,-0.003,0.181
