timestamp,phase,phase_elapsed_s,inject_count,drone_drift_m,lio_sam_drift_m,drone_x,drone_y,drone_z,lio_x,lio_y,lio_z
2026-04-25T11:50:15.357387,baseline,0.49,0,,,,,,,,
2026-04-25T11:50:16.857363,baseline,1.99,0,,,-5.992,0.0,3.19,0.003,0.011,2.88
2026-04-25T11:50:18.357362,baseline,3.49,0,,,-5.992,0.0,3.19,0.006,0.011,2.882
2026-04-25T11:50:19.857322,baseline,4.99,0,,,-5.992,0.0,3.19,0.005,0.01,2.88
2026-04-25T11:50:20.857439,baseline,5.99,0,,,-5.992,0.0,3.19,0.003,0.01,2.88
2026-04-25T11:50:22.357298,baseline,7.49,0,,,-5.992,0.0,3.19,0.006,0.011,2.879
2026-04-25T11:50:23.857270,baseline,8.99,0,,,-5.992,0.0,3.19,0.005,0.011,2.865
2026-04-25T11:50:25.357273,baseline,10.49,0,,,-5.992,0.0,3.18,0.005,0.01,2.874
2026-04-25T11:50:26.857245,baseline,11.99,0,,,-5.992,0.0,3.19,0.005,0.009,2.88
2026-04-25T11:50:27.857360,baseline,12.99,0,,,-5.992,0.0,3.19,0.004,0.01,2.887
2026-04-25T11:50:29.357302,baseline,14.49,0,,,-5.992,0.0,3.19,0.005,0.01,2.886
2026-04-25T11:50:30.857456,attack,0.5,249,0.0,0.004,-5.992,0.0,3.19,0.005,0.01,2.906
2026-04-25T11:50:32.357258,attack,2.0,999,0.0,0.007,-5.992,0.0,3.19,0.003,0.01,2.909
2026-04-25T11:50:33.357282,attack,3.61,1499,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:34.857251,attack,5.11,2249,0.01,0.037,-5.992,0.0,3.18,0.004,0.009,2.867
2026-04-25T11:50:36.357267,attack,6.61,2999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:37.857253,attack,8.11,3749,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:38.857317,attack,9.11,4249,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:40.357296,attack,10.61,4999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:41.857211,attack,12.11,5749,0.01,0.037,-5.992,0.0,3.18,0.004,0.009,2.867
2026-04-25T11:50:42.857264,attack,13.11,6249,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:43.857503,attack,14.11,6749,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:45.357269,attack,15.61,7499,0.01,0.037,-5.992,0.0,3.18,0.004,0.009,2.867
2026-04-25T11:50:46.857297,attack,17.11,8249,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:48.357278,attack,18.61,8999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:49.357322,attack,19.61,9499,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:50.857325,attack,21.11,10249,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:52.357255,attack,22.61,10999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:53.857315,attack,24.11,11749,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:55.357309,attack,25.61,12499,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:56.857322,attack,27.11,13249,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:58.357274,attack,28.61,13999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:50:59.357487,attack,29.61,14499,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:00.857209,attack,31.11,15249,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:01.857253,attack,32.11,15749,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:02.857270,attack,33.11,16249,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:03.857345,attack,34.11,16749,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:05.357258,attack,36.18,17499,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:06.357266,attack,37.18,17999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:07.357271,attack,38.18,18499,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:08.857329,attack,39.68,19249,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:10.357264,attack,41.18,19999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:11.857287,attack,42.68,20749,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:13.357323,attack,44.18,21499,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:14.357372,attack,45.18,21999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:15.857219,recovery,1.5,21999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:16.857293,recovery,2.5,21999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:17.857362,recovery,3.5,21999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:19.357304,recovery,5.0,21999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:20.357312,recovery,6.0,21999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:21.857291,recovery,7.5,21999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:22.857414,recovery,8.5,21999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:24.357304,recovery,10.0,21999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:25.857333,recovery,11.5,21999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:26.857334,recovery,12.5,21999,0.01,0.037,-5.992,0.0,3.18,0.004,0.009,2.867
2026-04-25T11:51:27.857370,recovery,13.5,21999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
2026-04-25T11:51:29.357236,recovery,15.0,21999,0.0,0.037,-5.992,0.0,3.19,0.004,0.009,2.867
